table,field,description,unit_or_scale
file_level_features,total_gain_db_median,File-level median summary derived from the total_gain_db field.,
file_level_features,total_gain_db_q75,File-level q75 summary derived from the total_gain_db field.,
file_level_features,total_gain_db_max,File-level max summary derived from the total_gain_db field.,
file_level_features,total_gain_db_skew,File-level skew summary derived from the total_gain_db field.,
file_level_features,total_gain_db_kurtosis,File-level kurtosis summary derived from the total_gain_db field.,
file_level_features,base_pwr_db_mean,File-level mean summary derived from the base_pwr_db field.,
file_level_features,base_pwr_db_std,File-level std summary derived from the base_pwr_db field.,
file_level_features,base_pwr_db_min,File-level min summary derived from the base_pwr_db field.,
file_level_features,base_pwr_db_q25,File-level q25 summary derived from the base_pwr_db field.,
file_level_features,base_pwr_db_median,File-level median summary derived from the base_pwr_db field.,
file_level_features,base_pwr_db_q75,File-level q75 summary derived from the base_pwr_db field.,
file_level_features,base_pwr_db_max,File-level max summary derived from the base_pwr_db field.,
file_level_features,base_pwr_db_skew,File-level skew summary derived from the base_pwr_db field.,
file_level_features,base_pwr_db_kurtosis,File-level kurtosis summary derived from the base_pwr_db field.,
file_level_features,rssi_mean,File-level mean summary derived from the rssi field.,
file_level_features,rssi_std,File-level std summary derived from the rssi field.,
file_level_features,rssi_min,File-level min summary derived from the rssi field.,
file_level_features,rssi_q25,File-level q25 summary derived from the rssi field.,
file_level_features,rssi_median,File-level median summary derived from the rssi field.,
file_level_features,rssi_q75,File-level q75 summary derived from the rssi field.,
file_level_features,rssi_max,File-level max summary derived from the rssi field.,
file_level_features,rssi_skew,File-level skew summary derived from the rssi field.,
file_level_features,rssi_kurtosis,File-level kurtosis summary derived from the rssi field.,
file_level_features,relpwr_db_mean,File-level mean summary derived from the relpwr_db field.,
file_level_features,relpwr_db_std,File-level std summary derived from the relpwr_db field.,
file_level_features,relpwr_db_min,File-level min summary derived from the relpwr_db field.,
file_level_features,relpwr_db_q25,File-level q25 summary derived from the relpwr_db field.,
file_level_features,relpwr_db_median,File-level median summary derived from the relpwr_db field.,
file_level_features,relpwr_db_q75,File-level q75 summary derived from the relpwr_db field.,
file_level_features,relpwr_db_max,File-level max summary derived from the relpwr_db field.,
file_level_features,relpwr_db_skew,File-level skew summary derived from the relpwr_db field.,
file_level_features,relpwr_db_kurtosis,File-level kurtosis summary derived from the relpwr_db field.,
file_level_features,avgpwr_db_mean,File-level mean summary derived from the avgpwr_db field.,
file_level_features,avgpwr_db_std,File-level std summary derived from the avgpwr_db field.,
file_level_features,avgpwr_db_min,File-level min summary derived from the avgpwr_db field.,
file_level_features,avgpwr_db_q25,File-level q25 summary derived from the avgpwr_db field.,
file_level_features,avgpwr_db_median,File-level median summary derived from the avgpwr_db field.,
file_level_features,avgpwr_db_q75,File-level q75 summary derived from the avgpwr_db field.,
file_level_features,avgpwr_db_max,File-level max summary derived from the avgpwr_db field.,
file_level_features,avgpwr_db_skew,File-level skew summary derived from the avgpwr_db field.,
file_level_features,avgpwr_db_kurtosis,File-level kurtosis summary derived from the avgpwr_db field.,
file_level_features,rssi_dbm_mean,File-level dbm_mean summary derived from the rssi field.,
file_level_features,rssi_dbm_std,File-level dbm_std summary derived from the rssi field.,
file_level_features,rssi_dbm_min,File-level dbm_min summary derived from the rssi field.,
file_level_features,rssi_dbm_q25,File-level dbm_q25 summary derived from the rssi field.,
file_level_features,rssi_dbm_median,File-level dbm_median summary derived from the rssi field.,
file_level_features,rssi_dbm_q75,File-level dbm_q75 summary derived from the rssi field.,
file_level_features,rssi_dbm_max,File-level dbm_max summary derived from the rssi field.,
file_level_features,rssi_dbm_skew,File-level dbm_skew summary derived from the rssi field.,
file_level_features,rssi_dbm_kurtosis,File-level dbm_kurtosis summary derived from the rssi field.,
file_level_features,freq1_nunique,File-level nunique summary derived from the freq1 field.,
file_level_features,noise_nunique,File-level nunique summary derived from the noise field.,
file_level_features,max_magnitude_nunique,File-level nunique summary derived from the max_magnitude field.,
file_level_features,total_gain_db_nunique,File-level nunique summary derived from the total_gain_db field.,
file_level_features,base_pwr_db_nunique,File-level nunique summary derived from the base_pwr_db field.,
file_level_features,rssi_nunique,File-level nunique summary derived from the rssi field.,
file_level_features,relpwr_db_nunique,File-level nunique summary derived from the relpwr_db field.,
file_level_features,avgpwr_db_nunique,File-level nunique summary derived from the avgpwr_db field.,
file_level_features,rssi_dbm_nunique,File-level dbm_nunique summary derived from the rssi field.,
